"Fast","Slow","Summary","EarlyStop","LastQuarter","MinQuarter","AvgQuarter"
"20","75","m15_posscan_f20_s75_l1 SUMMARY MinQuarterNet=-3,331.80 AvgQuarterNet=247.80 PassAll12=False","m15_posscan_f20_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-3,331.80 <= StopIfQuarterNetLe=0.00","2023Q2","-3331.8","247.8"
"20","89","m15_posscan_f20_s89_l1 SUMMARY MinQuarterNet=-8,400.40 AvgQuarterNet=-894.00 PassAll12=False","m15_posscan_f20_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-8,400.40 <= StopIfQuarterNetLe=0.00","2023Q2","-8400.4","-894"
"20","100","m15_posscan_f20_s100_l1 SUMMARY MinQuarterNet=-11,913.40 AvgQuarterNet=-2,236.80 PassAll12=False","m15_posscan_f20_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-11,913.40 <= StopIfQuarterNetLe=0.00","2023Q2","-11913.4","-2236.8"
"20","120","m15_posscan_f20_s120_l1 SUMMARY MinQuarterNet=-12,359.20 AvgQuarterNet=-4,776.50 PassAll12=False","m15_posscan_f20_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-12,359.20 <= StopIfQuarterNetLe=0.00","2023Q2","-12359.2","-4776.5"
"20","144","m15_posscan_f20_s144_l1 SUMMARY MinQuarterNet=-14,457.80 AvgQuarterNet=-755.10 PassAll12=False","m15_posscan_f20_s144_l1 EARLY_STOP Quarter=2023Q2 Net=-14,457.80 <= StopIfQuarterNetLe=0.00","2023Q2","-14457.8","-755.1"
"20","150","m15_posscan_f20_s150_l1 SUMMARY MinQuarterNet=-13,559.80 AvgQuarterNet=-930.60 PassAll12=False","m15_posscan_f20_s150_l1 EARLY_STOP Quarter=2023Q2 Net=-13,559.80 <= StopIfQuarterNetLe=0.00","2023Q2","-13559.8","-930.6"
"25","30","m15_posscan_f25_s30_l1 SUMMARY MinQuarterNet=-7,917.20 AvgQuarterNet=-2,996.50 PassAll12=False","m15_posscan_f25_s30_l1 EARLY_STOP Quarter=2023Q2 Net=-7,917.20 <= StopIfQuarterNetLe=0.00","2023Q2","-7917.2","-2996.5"
"25","40","m15_posscan_f25_s40_l1 SUMMARY MinQuarterNet=-5,570.00 AvgQuarterNet=-1,804.70 PassAll12=False","m15_posscan_f25_s40_l1 EARLY_STOP Quarter=2023Q2 Net=-5,570.00 <= StopIfQuarterNetLe=0.00","2023Q2","-5570","-1804.7"
"25","50","m15_posscan_f25_s50_l1 SUMMARY MinQuarterNet=-1,981.00 AvgQuarterNet=-981.60 PassAll12=False","m15_posscan_f25_s50_l1 EARLY_STOP Quarter=2023Q2 Net=-1,981.00 <= StopIfQuarterNetLe=0.00","2023Q2","-1981","-981.6"
"25","60","m15_posscan_f25_s60_l1 SUMMARY MinQuarterNet=-2,914.80 AvgQuarterNet=-419.80 PassAll12=False","m15_posscan_f25_s60_l1 EARLY_STOP Quarter=2023Q2 Net=-2,914.80 <= StopIfQuarterNetLe=0.00","2023Q2","-2914.8","-419.8"
"25","75","m15_posscan_f25_s75_l1 SUMMARY MinQuarterNet=-5,715.80 AvgQuarterNet=-576.20 PassAll12=False","m15_posscan_f25_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-5,715.80 <= StopIfQuarterNetLe=0.00","2023Q2","-5715.8","-576.2"
"25","89","m15_posscan_f25_s89_l1 SUMMARY MinQuarterNet=-7,994.60 AvgQuarterNet=-511.60 PassAll12=False","m15_posscan_f25_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-7,994.60 <= StopIfQuarterNetLe=0.00","2023Q2","-7994.6","-511.6"
"25","100","m15_posscan_f25_s100_l1 SUMMARY MinQuarterNet=-12,432.40 AvgQuarterNet=-3,864.60 PassAll12=False","m15_posscan_f25_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-12,432.40 <= StopIfQuarterNetLe=0.00","2023Q2","-12432.4","-3864.6"
"25","120","m15_posscan_f25_s120_l1 SUMMARY MinQuarterNet=-13,438.20 AvgQuarterNet=-4,545.70 PassAll12=False","m15_posscan_f25_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-13,438.20 <= StopIfQuarterNetLe=0.00","2023Q2","-13438.2","-4545.7"
